pair,tf,t1,cost_mult,n,wr,avg,net,tr_n,tr_avg,tr_net,va_n,va_avg,va_net
EURUSD,5,rr5,2.0,3983,0.18980667838312829,-0.17004381732594637,-677.2845244092443,2638,-0.14965793975749098,-394.7976450802612,1345,-0.21002741957545215,-282.48687932898315
EURUSD,15,swing,1.0,3635,0.3601100412654746,-0.06371436867206501,-231.6017301229563,2384,-0.06773862993770623,-161.48889377149163,1251,-0.05604543273498372,-70.11283635146464
EURUSD,15,swing,0.0,3649,0.36996437380104136,0.04156915790334677,151.68585718931234,2389,0.027020084587015346,64.55098207837966,1260,0.06915466278645449,87.13487511093265
EURUSD,15,swing,2.0,3627,0.35125448028673834,-0.13886367303492453,-503.6585420976713,2376,-0.13972317716501303,-331.98226894407094,1251,-0.13723123353605143,-171.67627315360033
EURUSD,15,rr5,1.0,3324,0.2686522262334537,-0.04003003363141178,-133.05983179081275,2179,-0.03833395342459063,-83.52968451218298,1145,-0.043257770549021676,-49.53014727862982
EURUSD,15,rr5,0.0,3339,0.2815214135968853,0.060760154473154936,202.87815578586432,2188,0.05464228058004128,119.55730990913032,1151,0.07238996166527716,83.32084587673401
EURUSD,15,rr5,2.0,3311,0.2564180006040471,-0.12131835084465549,-401.68505964665434,2172,-0.11596602990355111,-251.878216950513,1139,-0.1315248838420907,-149.80684269614133
EURUSD,30,swing,1.0,2743,0.3926358002187386,-0.039442047464374345,-108.18953619477884,1793,-0.031163863477438294,-55.87680721504686,950,-0.05506603050498101,-52.31272897973196
EURUSD,30,swing,0.0,2748,0.4053857350800582,0.033532986823768596,92.1486477917161,1795,0.036488651091192606,65.49712870869072,953,0.027965917191002502,26.651519083025384
EURUSD,30,swing,2.0,2742,0.3767323121808899,-0.09947329355629471,-272.7557709313601,1792,-0.0902756957267231,-161.7740467422878,950,-0.11682286756744448,-110.98172418907225
EURUSD,30,rr5,1.0,2622,0.3325705568268497,-0.01865823651429736,-48.921896140487675,1710,-0.003440058377832309,-5.882499826093248,912,-0.04719232052016929,-43.039396314394395
EURUSD,30,rr5,0.0,2623,0.3442622950819672,0.048842613148070965,128.11417428739014,1711,0.06904366603753771,118.13371259022702,912,0.010943488703029693,9.98046169716308
EURUSD,30,rr5,2.0,2622,0.3169336384439359,-0.0740811548114168,-194.24078791553487,1710,-0.05809561949179323,-99.34350933096643,912,-0.104054033535711,-94.89727858456843
EURUSD,60,swing,1.0,1721,0.41138872748402094,-0.034370294044232634,-59.151276050124366,1114,-0.055976369117700896,-62.357675197118795,607,0.005282370917618504,3.206399146994432
EURUSD,60,swing,0.0,1721,0.4253341080766996,0.01762718396767233,30.33638360836408,1114,-0.0078036353415194175,-8.693249770452631,607,0.06429923126658435,39.029633378816705
EURUSD,60,swing,2.0,1720,0.3959302325581395,-0.08230780588310681,-141.5694261189437,1114,-0.09930991690011871,-110.63124742673224,606,-0.051053100152164105,-30.938178692211448
EURUSD,60,rr5,1.0,1704,0.3755868544600939,-0.03368209250325069,-57.394285625539176,1106,-0.03645930347842566,-40.32398964713878,598,-0.028545645448830117,-17.07029597840041
EURUSD,60,rr5,0.0,1705,0.3912023460410557,0.01769482266803115,30.16967264899311,1107,0.016126266276090994,17.85177676763273,598,0.02059848809592037,12.317895881360382
EURUSD,60,rr5,2.0,1704,0.3615023474178404,-0.07894456122687957,-134.52153233060278,1106,-0.07693544916225602,-85.09060677345515,598,-0.08266041063068164,-49.43092555714762
